model_id,model_revision,task_id,task_version,view_id,metric,score,status,dataset_revision,result_sha256,result_path
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,en-ne-parallel,1,en-ne,f1,0.8306878306878307,verified,e4c18f52adbb7dfa4a7aead58c69394b2f446ea6,4afc3e59297e30bb9b7ff8a3dd0bd28ef4763bfab929164b0104c1ab46127ccc,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/en-ne-parallel-v1/results/en-ne.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,en-ne-parallel,1,en-ne,f1,0.8624338624338624,verified,e4c18f52adbb7dfa4a7aead58c69394b2f446ea6,f8652bfa2707b850bd6544dbfe746dfd4a57e7b699101dbd4688b8a7b9621c30,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/en-ne-parallel-v1/results/en-ne.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,en-ne-parallel,1,en-ne,f1,0.8412698412698413,verified,e4c18f52adbb7dfa4a7aead58c69394b2f446ea6,7d19bf3598d3800d76ac7b779c8ea8d8c52bf06877be3e7b7c80e899bd78152b,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/en-ne-parallel-v1/results/en-ne.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,en-ne-parallel,1,ne-en,f1,0.8042328042328042,verified,e4c18f52adbb7dfa4a7aead58c69394b2f446ea6,32c3b7e70d96ee067ddcd1269fd44088d09427f82ede8b7c2563727994aa0487,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/en-ne-parallel-v1/results/ne-en.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,en-ne-parallel,1,ne-en,f1,0.8518518518518519,verified,e4c18f52adbb7dfa4a7aead58c69394b2f446ea6,fd154372e60f38ec06f21da3d8eebbaddbaf2bc1c1110bbaf9496cf00d620c3e,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/en-ne-parallel-v1/results/ne-en.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,en-ne-parallel,1,ne-en,f1,0.8359788359788359,verified,e4c18f52adbb7dfa4a7aead58c69394b2f446ea6,be2ebca97e4c4c16133515f12f5b91fc252e1d62a4064c580f48c08b5e0cf167,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/en-ne-parallel-v1/results/ne-en.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,nanobeir-ne,1,arguana,ndcg_at_10,0.3011432136173081,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,d4c597eee8e001f60433d9b4b751a0d46d46d9cfed7311764bf5b90a01ba96dc,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/nanobeir-ne-v1/results/arguana.json
all-minilm-l6-v3-nepali,37d42341db65da0787d41e0f81c977ab4fa510a5,nanobeir-ne,1,arguana,ndcg_at_10,0.312360423575842,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,96f318fccf8e91555f852593f535265d115ed0944847fba8d18ff31147aeb6c3,results/verified/all-minilm-l6-v3-nepali/37d42341db65da0787d41e0f81c977ab4fa510a5/nanobeir-ne-v1/results/arguana.json
all-minilm-l6-v3-nepali-rag,da318b7bffcb620b4759aa54f2faad90030994cc,nanobeir-ne,1,arguana,ndcg_at_10,0.37427782577122753,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,e7d7b5bb1b483ce688c19138a867b2ce310b6eebc8870acb9532853fe3e1b838,results/verified/all-minilm-l6-v3-nepali-rag/da318b7bffcb620b4759aa54f2faad90030994cc/nanobeir-ne-v1/results/arguana.json
all-minilm-l6-v2-nepali,4dd8c1f4cb4978aa03839d1ac36bde3594bf4add,nanobeir-ne,1,climatefever,ndcg_at_10,0.04802075149259509,verified,dbe0a6befdfce448982392bd461ac5d16485e99e,bff62d16fa73772da451726d09495fa498ffae5e1840b6d388a50b28ebbeacfd,results/verified/all-minilm-l6-v2-nepali/4dd8c1f4cb4978aa03839d1ac36bde3594bf4add/nanobeir-ne-v1/results/climatefever.json
